masse	zahl
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
516.414	10
636.659	10
784.903	10
967.665	10
1192.98	10
1470.76	10
1813.23	10
2235.43	10
2755.94	10
3397.66	10
4188.79	10
5164.14	10
6366.59	10
7849.03	10
9676.65	10
11929.8	10
14707.6	10
18132.3	10
22354.3	10
27559.4	10
33976.6	10
41887.9	10
51641.4	10
63665.9	10
78490.3	10
96766.5	10
119298	10
147076	10
181323	10
223543	10
275594	10
339766	10
418879	10
516414	10
636659	10
784903	10
967665	10
1.19298e+06	10
1.47076e+06	10
1.81323e+06	10
2.23543e+06	10
2.75594e+06	10
3.39766e+06	10
4.18879e+06	10
5.16414e+06	10
6.36659e+06	10
7.84903e+06	10
9.67665e+06	10
1.19298e+07	10
1.47076e+07	10
1.81323e+07	10
2.23543e+07	10
2.75594e+07	10
3.39766e+07	10
4.18879e+07	10
5.16414e+07	10
6.36659e+07	10
7.84903e+07	10
9.67665e+07	10
1.19298e+08	10
1.47076e+08	10
1.81323e+08	10
2.23543e+08	10
2.75594e+08	10
3.39766e+08	10
4.18879e+08	10
5.16414e+08	10
6.36659e+08	10
7.84903e+08	10
9.67665e+08	10
1.19298e+09	10
1.47076e+09	10
1.81323e+09	10
2.23543e+09	10
2.75594e+09	10
3.39766e+09	10
4.18879e+09	10
5.16414e+09	10
6.36659e+09	10
7.84903e+09	10
9.67665e+09	10
1.19298e+10	10
1.47076e+10	10
1.81323e+10	10
2.23543e+10	10
2.75594e+10	10
3.39766e+10	10
4.18879e+10	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
516.414	10
636.659	10
784.903	10
967.665	10
1192.98	10
1470.76	10
1813.23	10
2235.43	10
2755.94	10
3397.66	10
4188.79	10
5164.14	10
6366.59	10
7849.03	10
9676.65	10
11929.8	10
14707.6	10
18132.3	10
22354.3	10
27559.4	10
33976.6	10
41887.9	10
51641.4	10
63665.9	10
78490.3	10
96766.5	10
119298	10
147076	10
181323	10
223543	10
275594	10
339766	10
418879	10
516414	10
636659	10
784903	10
967665	10
1.19298e+06	10
1.47076e+06	10
1.81323e+06	10
2.23543e+06	10
2.75594e+06	10
3.39766e+06	10
4.18879e+06	10
5.16414e+06	10
6.36659e+06	10
7.84903e+06	10
9.67665e+06	10
1.19298e+07	10
1.47076e+07	10
1.81323e+07	10
2.23543e+07	10
2.75594e+07	10
3.39766e+07	10
4.18879e+07	10
5.16414e+07	10
6.36659e+07	10
7.84903e+07	10
9.67665e+07	10
1.19298e+08	10
1.47076e+08	10
1.81323e+08	10
2.23543e+08	10
2.75594e+08	10
3.39766e+08	10
4.18879e+08	10
5.16414e+08	10
6.36659e+08	10
7.84903e+08	10
9.67665e+08	10
1.19298e+09	10
1.47076e+09	10
1.81323e+09	10
2.23543e+09	10
2.75594e+09	10
3.39766e+09	10
4.18879e+09	10
5.16414e+09	10
6.36659e+09	10
7.84903e+09	10
9.67665e+09	10
1.19298e+10	10
1.47076e+10	10
1.81323e+10	10
2.23543e+10	10
2.75594e+10	10
3.39766e+10	10
4.18879e+10	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
418.879	10
516.414	10
636.659	10
784.903	10
967.665	10
1192.98	10
1470.76	10
1813.23	10
