Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	
1	4.18879e+26	3.76991e+26	3.39292e+26	3.05363e+26	2.74827e+26	2.47344e+26	2.22609e+26	
1.07227	0	0	0	0	0	0	0	
1.14976	0	0	0	0	0	0	0	
1.23285	0	4.18879e+25	7.17794e+25	9.23003e+25	1.05553e+26	1.13218e+26	1.16635e+26	
1.32194	0	0	0	0	0	0	0	
1.41747	0	0	7.4561e+24	1.8278e+25	2.99019e+25	4.08043e+25	5.01603e+25	
1.51991	0	0	3.51536e+23	2.642e+24	6.97624e+24	1.28183e+25	1.94475e+25	
1.62975	0	0	0	2.74875e+23	1.4056e+24	3.81216e+24	7.62103e+24	
1.74753	0	0	0	2.09554e+22	2.11545e+23	8.37161e+23	2.18638e+24	
1.87382	0	0	0	2.07932e+19	4.10273e+21	4.16588e+22	1.9187e+23	
2.00923	0	0	0	0	1.70418e+20	3.69995e+21	2.72227e+22	
2.15443	0	0	0	0	8.67885e+16	2.14948e+19	4.68322e+20	
2.31013	0	0	0	0	6.1131e+10	9.19495e+16	6.56929e+18	
2.47708	0	0	0	0	0	9.58801e+12	8.43227e+15	
2.65609	0	0	0	0	0	1.03303e+06	1.28226e+12	
2.84804	0	0	0	0	0	4.44206e-07	1.07045e+07	
3.05386	0	0	0	0	0	0	0.0161989	
3.27455	0	0	0	0	0	0	1.2402e-16	
3.51119	0	0	0	0	0	0	1.97266e-41	
3.76494	0	0	0	0	0	0	0	
4.03702	0	0	0	0	0	0	0	
4.32876	0	0	0	0	0	0	0	
4.64159	0	0	0	0	0	0	0	
4.97702	0	0	0	0	0	0	0	
5.3367	0	0	0	0	0	0	0	
5.72237	0	0	0	0	0	0	0	
6.13591	0	0	0	0	0	0	0	
6.57933	0	0	0	0	0	0	0	
7.0548	0	0	0	0	0	0	0	
7.56463	0	0	0	0	0	0	0	
8.11131	0	0	0	0	0	0	0	
8.69749	0	0	0	0	0	0	0	
9.32603	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	0	
10.7227	0	0	0	0	0	0	0	
11.4976	0	0	0	0	0	0	0	
12.3285	0	0	0	0	0	0	0	
13.2194	0	0	0	0	0	0	0	
14.1747	0	0	0	0	0	0	0	
15.1991	0	0	0	0	0	0	0	
16.2975	0	0	0	0	0	0	0	
17.4753	0	0	0	0	0	0	0	
18.7382	0	0	0	0	0	0	0	
20.0923	0	0	0	0	0	0	0	
21.5443	0	0	0	0	0	0	0	
23.1013	0	0	0	0	0	0	0	
24.7708	0	0	0	0	0	0	0	
26.5609	0	0	0	0	0	0	0	
28.4804	0	0	0	0	0	0	0	
30.5386	0	0	0	0	0	0	0	
32.7455	0	0	0	0	0	0	0	
35.1119	0	0	0	0	0	0	0	
37.6494	0	0	0	0	0	0	0	
40.3702	0	0	0	0	0	0	0	
43.2876	0	0	0	0	0	0	0	
46.4159	0	0	0	0	0	0	0	
49.7702	0	0	0	0	0	0	0	
53.367	0	0	0	0	0	0	0	
57.2237	0	0	0	0	0	0	0	
61.3591	0	0	0	0	0	0	0	
65.7933	0	0	0	0	0	0	0	
70.548	0	0	0	0	0	0	0	
75.6463	0	0	0	0	0	0	0	
81.1131	0	0	0	0	0	0	0	
86.9749	0	0	0	0	0	0	0	
93.2603	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	0	
107.227	0	0	0	0	0	0	0	
114.976	0	0	0	0	0	0	0	
123.285	0	0	0	0	0	0	0	
132.194	0	0	0	0	0	0	0	
141.747	0	0	0	0	0	0	0	
151.991	0	0	0	0	0	0	0	
162.975	0	0	0	0	0	0	0	
174.753	0	0	0	0	0	0	0	
187.382	0	0	0	0	0	0	0	
200.923	0	0	0	0	0	0	0	
215.443	0	0	0	0	0	0	0	
231.013	0	0	0	0	0	0	0	
247.708	0	0	0	0	0	0	0	
265.609	0	0	0	0	0	0	0	
284.804	0	0	0	0	0	0	0	
305.386	0	0	0	0	0	0	0	
327.455	0	0	0	0	0	0	0	
351.119	0	0	0	0	0	0	0	
376.494	0	0	0	0	0	0	0	
403.702	0	0	0	0	0	0	0	
432.876	0	0	0	0	0	0	0	
464.159	0	0	0	0	0	0	0	
497.702	0	0	0	0	0	0	0	
533.67	0	0	0	0	0	0	0	
572.237	0	0	0	0	0	0	0	
613.591	0	0	0	0	0	0	0	
657.933	0	0	0	0	0	0	0	
705.48	0	0	0	0	0	0	0	
756.463	0	0	0	0	0	0	0	
811.131	0	0	0	0	0	0	0	
869.749	0	0	0	0	0	0	0	
932.603	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	
