Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	Zeitschritt_16	Zeitschritt_17	Zeitschritt_18	Zeitschritt_19	Zeitschritt_20	Zeitschritt_21	Zeitschritt_22	Zeitschritt_23	Zeitschritt_24	Zeitschritt_25	Zeitschritt_26	Zeitschritt_27	Zeitschritt_28	Zeitschritt_29	Zeitschritt_30	Zeitschritt_31	Zeitschritt_32	Zeitschritt_33	Zeitschritt_34	Zeitschritt_35	Zeitschritt_36	Zeitschritt_37	Zeitschritt_38	Zeitschritt_39	Zeitschritt_40	Zeitschritt_41	Zeitschritt_42	Zeitschritt_43	Zeitschritt_44	Zeitschritt_45	Zeitschritt_46	Zeitschritt_47	Zeitschritt_48	Zeitschritt_49	Zeitschritt_50	Zeitschritt_51	Zeitschritt_52	Zeitschritt_53	Zeitschritt_54	Zeitschritt_55	Zeitschritt_56	Zeitschritt_57	Zeitschritt_58	Zeitschritt_59	Zeitschritt_60	Zeitschritt_61	Zeitschritt_62	Zeitschritt_63	Zeitschritt_64	Zeitschritt_65	Zeitschritt_66	Zeitschritt_67	Zeitschritt_68	Zeitschritt_69	Zeitschritt_70	Zeitschritt_71	Zeitschritt_72	Zeitschritt_73	Zeitschritt_74	Zeitschritt_75	Zeitschritt_76	Zeitschritt_77	Zeitschritt_78	Zeitschritt_79	Zeitschritt_80	Zeitschritt_81	Zeitschritt_82	Zeitschritt_83	Zeitschritt_84	Zeitschritt_85	Zeitschritt_86	Zeitschritt_87	Zeitschritt_88	Zeitschritt_89	Zeitschritt_90	
1	4.18879e+26	3.76991e+26	3.39292e+26	3.05363e+26	2.74827e+26	2.47344e+26	2.22609e+26	2.00349e+26	1.80314e+26	1.62282e+26	1.46054e+26	1.31449e+26	1.18304e+26	1.06473e+26	9.58261e+25	8.62435e+25	7.76191e+25	6.98572e+25	6.28715e+25	5.65843e+25	5.09259e+25	4.58333e+25	4.125e+25	3.7125e+25	3.34125e+25	3.00712e+25	2.70641e+25	2.43766e+25	2.19756e+25	1.98285e+25	1.79166e+25	1.62088e+25	1.46793e+25	1.33061e+25	1.20709e+25	1.09597e+25	9.96009e+24	9.05896e+24	8.24511e+24	7.5089e+24	6.84196e+24	6.23703e+24	5.69083e+24	5.19849e+24	4.75344e+24	4.35014e+24	3.98396e+24	3.65309e+24	3.35319e+24	3.08062e+24	2.83232e+24	2.60637e+24	2.40068e+24	2.21323e+24	2.04195e+24	1.88539e+24	1.74217e+24	1.61115e+24	1.49115e+24	1.38131e+24	1.28054e+24	1.18786e+24	1.1027e+24	1.02437e+24	9.52346e+23	8.85936e+23	8.2471e+23	7.68196e+23	7.15995e+23	6.6776e+23	6.23115e+23	5.8182e+23	5.4353e+23	5.08057e+23	4.75134e+23	4.44593e+23	4.16222e+23	3.89838e+23	3.65311e+23	3.42468e+23	3.21217e+23	3.01399e+23	2.82938e+23	2.65711e+23	2.49634e+23	2.34623e+23	2.20593e+23	2.07485e+23	1.95213e+23	1.83742e+23	1.72996e+23	
1.07227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.14976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.23285	0	4.18879e+25	7.17794e+25	9.23003e+25	1.05553e+26	1.13218e+26	1.16635e+26	1.16869e+26	1.14762e+26	1.10979e+26	1.0604e+26	1.00347e+26	9.42127e+25	8.7874e+25	8.1509e+25	7.52492e+25	6.91888e+25	6.33934e+25	5.79058e+25	5.27515e+25	4.79425e+25	4.34811e+25	3.9362e+25	3.55745e+25	3.21045e+25	2.89352e+25	2.60484e+25	2.34436e+25	2.10992e+25	1.89911e+25	1.71067e+25	1.54194e+25	1.39063e+25	1.25479e+25	1.13271e+25	1.02305e+25	9.24649e+24	8.36208e+24	7.56617e+24	6.84909e+24	6.20239e+24	5.61865e+24	5.0943e+24	4.62422e+24	4.20167e+24	3.82099e+24	3.47738e+24	3.16881e+24	2.89081e+24	2.6397e+24	2.41238e+24	2.20681e+24	2.02083e+24	1.85239e+24	1.69945e+24	1.56049e+24	1.43415e+24	1.31928e+24	1.21469e+24	1.11952e+24	1.03272e+24	9.53355e+23	8.80832e+23	8.145e+23	7.53836e+23	6.98203e+23	6.47184e+23	6.00333e+23	5.57278e+23	5.17691e+23	4.81229e+23	4.47664e+23	4.16686e+23	3.88119e+23	3.61724e+23	3.37345e+23	3.14795e+23	2.93912e+23	2.74577e+23	2.56642e+23	2.40022e+23	2.24581e+23	2.10251e+23	1.96927e+23	1.84536e+23	1.73006e+23	1.62266e+23	1.52265e+23	1.42931e+23	1.34234e+23	1.26112e+23	
1.32194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.41747	0	0	7.4561e+24	1.8278e+25	2.99019e+25	4.08043e+25	5.01603e+25	5.76026e+25	6.30543e+25	6.66138e+25	6.84766e+25	6.88841e+25	6.80896e+25	6.63383e+25	6.3855e+25	6.08385e+25	5.74591e+25	5.38592e+25	5.01549e+25	4.64386e+25	4.27821e+25	3.92393e+25	3.58491e+25	3.26381e+25	2.96231e+25	2.68128e+25	2.42096e+25	2.18281e+25	1.96608e+25	1.76948e+25	1.59253e+25	1.43328e+25	1.28995e+25	1.16095e+25	1.04486e+25	9.40539e+24	8.46957e+24	7.62937e+24	6.87451e+24	6.1959e+24	5.58552e+24	5.03625e+24	4.54456e+24	4.10539e+24	3.71218e+24	3.35941e+24	3.04237e+24	2.75893e+24	2.50474e+24	2.27621e+24	2.07029e+24	1.88497e+24	1.71811e+24	1.56771e+24	1.43179e+24	1.3089e+24	1.1977e+24	1.09708e+24	1.00589e+24	9.23291e+23	8.48305e+23	7.80048e+23	7.17957e+23	6.61416e+23	6.0993e+23	5.62915e+23	5.19978e+23	4.80712e+23	4.44772e+23	4.11858e+23	3.81659e+23	3.53964e+23	3.285e+23	3.05102e+23	2.8356e+23	2.63733e+23	2.45456e+23	2.28586e+23	2.13018e+23	1.98622e+23	1.85323e+23	1.73006e+23	1.61608e+23	1.5104e+23	1.41241e+23	1.32148e+23	1.237e+23	1.15854e+23	1.08551e+23	1.01762e+23	9.54369e+22	
1.51991	0	0	3.51536e+23	2.642e+24	6.97624e+24	1.28183e+25	1.94475e+25	2.61856e+25	3.24942e+25	3.7999e+25	4.24794e+25	4.58416e+25	4.80877e+25	4.92867e+25	4.95499e+25	4.90107e+25	4.78104e+25	4.60874e+25	4.3971e+25	4.15767e+25	3.90047e+25	3.63394e+25	3.365e+25	3.09913e+25	2.84058e+25	2.59248e+25	2.35704e+25	2.13724e+25	1.93383e+25	1.74668e+25	1.57628e+25	1.42144e+25	1.28098e+25	1.15375e+25	1.03864e+25	9.34773e+24	8.41295e+24	7.57166e+24	6.81449e+24	6.13304e+24	5.51974e+24	4.96777e+24	4.47379e+24	4.03286e+24	3.63846e+24	3.28504e+24	2.96789e+24	2.68481e+24	2.43142e+24	2.20403e+24	1.99958e+24	1.81598e+24	1.65104e+24	1.50272e+24	1.369e+24	1.24839e+24	1.13952e+24	1.04124e+24	9.52401e+23	8.72136e+23	7.99446e+23	7.33443e+23	6.73549e+23	6.19143e+23	5.69721e+23	5.24698e+23	4.83678e+23	4.46252e+23	4.12076e+23	3.80848e+23	3.52261e+23	3.26102e+23	3.02101e+23	2.80094e+23	2.59876e+23	2.41305e+23	2.24221e+23	2.08483e+23	1.93987e+23	1.80608e+23	1.68271e+23	1.56866e+23	1.4633e+23	1.36579e+23	1.27553e+23	1.1919e+23	1.11434e+23	1.04242e+23	9.75563e+22	9.1352e+22	8.55801e+22	
1.62975	0	0	0	2.74875e+23	1.4056e+24	3.81216e+24	7.62103e+24	1.26902e+25	1.86931e+25	2.52116e+25	3.18134e+25	3.81076e+25	4.37772e+25	4.85934e+25	5.24163e+25	5.51859e+25	5.69093e+25	5.76446e+25	5.7486e+25	5.65502e+25	5.49644e+25	5.28573e+25	5.03527e+25	4.75645e+25	4.45938e+25	4.1528e+25	3.84402e+25	3.5411e+25	3.24884e+25	2.97033e+25	2.70901e+25	2.46539e+25	2.23949e+25	2.03093e+25	1.83912e+25	1.66356e+25	1.50359e+25	1.35807e+25	1.22587e+25	1.10594e+25	9.97249e+24	8.98847e+24	8.10336e+24	7.30993e+24	6.59769e+24	5.95759e+24	5.3818e+24	4.86689e+24	4.4053e+24	3.99064e+24	3.61753e+24	3.28232e+24	2.98112e+24	2.7103e+24	2.46619e+24	2.24611e+24	2.04757e+24	1.86848e+24	1.70672e+24	1.56072e+24	1.42863e+24	1.30882e+24	1.20024e+24	1.10172e+24	1.01235e+24	9.31032e+23	8.57047e+23	7.89638e+23	7.28166e+23	6.72076e+23	6.20801e+23	5.73947e+23	5.3102e+23	4.91715e+23	4.55655e+23	4.22579e+23	3.92192e+23	3.64238e+23	3.38525e+23	3.14826e+23	2.93001e+23	2.72851e+23	2.54261e+23	2.37077e+23	2.2119e+23	2.06489e+23	1.9287e+23	1.80256e+23	1.68545e+23	1.57689e+23	1.47601e+23	
1.74753	0	0	0	2.09554e+22	2.11545e+23	8.37161e+23	2.18638e+24	4.47515e+24	7.7874e+24	1.20597e+25	1.71008e+25	2.26319e+25	2.83331e+25	3.38863e+25	3.90091e+25	4.34756e+25	4.71278e+25	4.98757e+25	5.16918e+25	5.26009e+25	5.2668e+25	5.19862e+25	5.0665e+25	4.88211e+25	4.65704e+25	4.40225e+25	4.12771e+25	3.84413e+25	3.55932e+25	3.27909e+25	3.00928e+25	2.75243e+25	2.51015e+25	2.28333e+25	2.0723e+25	1.87732e+25	1.69829e+25	1.53442e+25	1.38483e+25	1.24861e+25	1.12481e+25	1.01249e+25	9.11341e+24	8.20604e+24	7.39144e+24	6.65958e+24	6.00175e+24	5.41413e+24	4.88808e+24	4.41631e+24	3.99259e+24	3.61269e+24	3.2721e+24	2.96655e+24	2.69184e+24	2.44477e+24	2.22247e+24	2.02248e+24	1.84233e+24	1.68017e+24	1.53387e+24	1.40153e+24	1.28192e+24	1.1737e+24	1.07578e+24	9.86939e+23	9.06323e+23	8.33067e+23	7.6644e+23	7.05804e+23	6.50514e+23	6.00121e+23	5.54065e+23	5.12e+23	4.735e+23	4.38269e+23	4.05978e+23	3.7634e+23	3.4914e+23	3.24124e+23	3.01136e+23	2.79957e+23	2.60458e+23	2.42471e+23	2.25873e+23	2.10544e+23	1.96371e+23	1.83267e+23	1.71124e+23	1.59887e+23	1.49463e+23	
1.87382	0	0	0	2.07932e+19	4.10273e+21	4.16588e+22	1.9187e+23	5.85963e+23	1.38218e+24	2.72535e+24	4.70796e+24	7.34495e+24	1.05676e+25	1.42343e+25	1.81535e+25	2.21108e+25	2.58955e+25	2.93222e+25	3.22449e+25	3.45639e+25	3.62269e+25	3.72245e+25	3.75833e+25	3.73572e+25	3.66186e+25	3.54503e+25	3.39386e+25	3.21805e+25	3.02605e+25	2.82498e+25	2.62181e+25	2.42089e+25	2.22545e+25	2.03784e+25	1.85966e+25	1.69219e+25	1.53621e+25	1.39176e+25	1.2586e+25	1.13636e+25	1.02453e+25	9.22538e+24	8.30284e+24	7.47255e+24	6.7253e+24	6.05277e+24	5.44757e+24	4.90662e+24	4.42228e+24	3.98802e+24	3.59823e+24	3.24905e+24	2.93636e+24	2.65623e+24	2.40475e+24	2.17896e+24	1.97619e+24	1.79412e+24	1.63045e+24	1.48344e+24	1.35109e+24	1.23164e+24	1.12392e+24	1.02669e+24	9.38913e+23	8.59459e+23	7.87529e+23	7.22317e+23	6.63143e+23	6.09412e+23	5.60532e+23	5.1608e+23	4.75546e+23	4.38604e+23	4.04868e+23	3.74063e+23	3.45887e+23	3.2008e+23	2.96444e+23	2.7475e+23	2.54855e+23	2.3656e+23	2.19748e+23	2.04269e+23	1.90011e+23	1.76867e+23	1.64735e+23	1.53538e+23	1.43179e+23	1.33609e+23	1.24745e+23	
