Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	Zeitschritt_16	Zeitschritt_17	Zeitschritt_18	Zeitschritt_19	Zeitschritt_20	Zeitschritt_21	Zeitschritt_22	Zeitschritt_23	Zeitschritt_24	Zeitschritt_25	Zeitschritt_26	Zeitschritt_27	Zeitschritt_28	Zeitschritt_29	Zeitschritt_30	Zeitschritt_31	Zeitschritt_32	Zeitschritt_33	Zeitschritt_34	Zeitschritt_35	Zeitschritt_36	Zeitschritt_37	Zeitschritt_38	Zeitschritt_39	Zeitschritt_40	Zeitschritt_41	Zeitschritt_42	Zeitschritt_43	Zeitschritt_44	Zeitschritt_45	Zeitschritt_46	Zeitschritt_47	Zeitschritt_48	Zeitschritt_49	Zeitschritt_50	Zeitschritt_51	Zeitschritt_52	Zeitschritt_53	Zeitschritt_54	Zeitschritt_55	Zeitschritt_56	Zeitschritt_57	Zeitschritt_58	Zeitschritt_59	Zeitschritt_60	Zeitschritt_61	Zeitschritt_62	Zeitschritt_63	Zeitschritt_64	Zeitschritt_65	Zeitschritt_66	Zeitschritt_67	Zeitschritt_68	Zeitschritt_69	Zeitschritt_70	Zeitschritt_71	Zeitschritt_72	Zeitschritt_73	Zeitschritt_74	Zeitschritt_75	Zeitschritt_76	Zeitschritt_77	Zeitschritt_78	Zeitschritt_79	Zeitschritt_80	
1	0	0	0	0	5.93294e+11	1.39248e+14	4.67689e+15	6.02512e+16	4.37555e+17	2.16621e+18	8.1437e+18	2.48676e+19	6.4523e+19	1.46861e+20	3.00211e+20	5.61147e+20	9.72686e+20	1.58129e+21	2.4332e+21	3.57077e+21	5.02933e+21	6.83492e+21	9.00306e+21	1.15386e+22	1.44361e+22	1.76815e+22	2.1253e+22	2.51233e+22	2.92608e+22	3.36314e+22	3.81998e+22	4.29304e+22	4.77883e+22	5.274e+22	5.77537e+22	6.27998e+22	6.78512e+22	7.2883e+22	7.78728e+22	8.28007e+22	8.7649e+22	9.24023e+22	9.70473e+22	1.01572e+23	1.05968e+23	1.10226e+23	1.14341e+23	1.18306e+23	1.22118e+23	1.25774e+23	1.29272e+23	1.32611e+23	1.3579e+23	1.38811e+23	1.41674e+23	1.4438e+23	1.46931e+23	1.49331e+23	1.51581e+23	1.53684e+23	1.55643e+23	1.57462e+23	1.59145e+23	1.60694e+23	1.62114e+23	1.63408e+23	1.6458e+23	1.65635e+23	1.66574e+23	1.67404e+23	1.68127e+23	1.68747e+23	1.69268e+23	1.69694e+23	1.70028e+23	1.70274e+23	1.70436e+23	1.70516e+23	1.70518e+23	1.70446e+23	1.70302e+23	
1.07227	0	0	0	0	1.80181e+13	4.71346e+15	1.22555e+17	1.21694e+18	6.95205e+18	2.75988e+19	8.45968e+19	2.13798e+20	4.65523e+20	9.00821e+20	1.58481e+21	2.57883e+21	3.93325e+21	5.68224e+21	7.84115e+21	1.04064e+22	1.33573e+22	1.66594e+22	2.02681e+22	2.41323e+22	2.81982e+22	3.24119e+22	3.67216e+22	4.1079e+22	4.54405e+22	4.97675e+22	5.40266e+22	5.81896e+22	6.2233e+22	6.61377e+22	6.98889e+22	7.3475e+22	7.68877e+22	8.01215e+22	8.31729e+22	8.60406e+22	8.87249e+22	9.12273e+22	9.35506e+22	9.56983e+22	9.76747e+22	9.94848e+22	1.01134e+23	1.02627e+23	1.03971e+23	1.05171e+23	1.06234e+23	1.07165e+23	1.0797e+23	1.08655e+23	1.09227e+23	1.0969e+23	1.10051e+23	1.10314e+23	1.10486e+23	1.1057e+23	1.10573e+23	1.10498e+23	1.10351e+23	1.10135e+23	1.09855e+23	1.09515e+23	1.09119e+23	1.08669e+23	1.08171e+23	1.07626e+23	1.07039e+23	1.06411e+23	1.05747e+23	1.05049e+23	1.04319e+23	1.0356e+23	1.02774e+23	1.01964e+23	1.01131e+23	1.00277e+23	9.94051e+22	
1.14976	0	0	0	0	1.44683e+16	5.10392e+17	5.21548e+18	2.78553e+19	9.98128e+19	2.73058e+20	6.15385e+20	1.19961e+21	2.09103e+21	3.33732e+21	4.96296e+21	6.96857e+21	9.33393e+21	1.20231e+22	1.49902e+22	1.81844e+22	2.15547e+22	2.50523e+22	2.86327e+22	3.22567e+22	3.58902e+22	3.95045e+22	4.30754e+22	4.65829e+22	5.00107e+22	5.3345e+22	5.65751e+22	5.96921e+22	6.26889e+22	6.55601e+22	6.83014e+22	7.09099e+22	7.33835e+22	7.57209e+22	7.79219e+22	7.99867e+22	8.1916e+22	8.37115e+22	8.53748e+22	8.69084e+22	8.83147e+22	8.95969e+22	9.07579e+22	9.18014e+22	9.27307e+22	9.35498e+22	9.42624e+22	9.48724e+22	9.53838e+22	9.58006e+22	9.61268e+22	9.63664e+22	9.65234e+22	9.66018e+22	9.66052e+22	9.65377e+22	9.64028e+22	9.62043e+22	9.59456e+22	9.56302e+22	9.52614e+22	9.48425e+22	9.43766e+22	9.38667e+22	9.33158e+22	9.27265e+22	9.21016e+22	9.14438e+22	9.07553e+22	9.00387e+22	8.92961e+22	8.85297e+22	8.77415e+22	8.69336e+22	8.61077e+22	8.52657e+22	8.44091e+22	
1.23285	0	0	0	2.19798e+17	4.08792e+18	2.55343e+19	9.46793e+19	2.56707e+20	5.65475e+20	1.07692e+21	1.84537e+21	2.92237e+21	4.35613e+21	6.18998e+21	8.45962e+21	1.11897e+22	1.43906e+22	1.80568e+22	2.21664e+22	2.66822e+22	3.15544e+22	3.67236e+22	4.21247e+22	4.769e+22	5.33521e+22	5.90469e+22	6.47148e+22	7.03021e+22	7.5762e+22	8.10542e+22	8.61454e+22	9.1009e+22	9.56239e+22	9.99748e+22	1.04051e+23	1.07847e+23	1.11358e+23	1.14586e+23	1.17534e+23	1.20206e+23	1.2261e+23	1.24752e+23	1.26642e+23	1.28291e+23	1.29708e+23	1.30904e+23	1.3189e+23	1.32677e+23	1.33276e+23	1.33698e+23	1.33953e+23	1.34051e+23	1.34004e+23	1.3382e+23	1.33508e+23	1.33079e+23	1.32539e+23	1.31899e+23	1.31164e+23	1.30344e+23	1.29444e+23	1.28472e+23	1.27433e+23	1.26335e+23	1.25181e+23	1.23979e+23	1.22732e+23	1.21445e+23	1.20123e+23	1.1877e+23	1.1739e+23	1.15986e+23	1.14561e+23	1.13119e+23	1.11663e+23	1.10195e+23	1.08718e+23	1.07235e+23	1.05747e+23	1.04256e+23	1.02765e+23	
1.32194	0	0	0	0	6.43005e+18	5.50825e+19	2.34364e+20	6.9057e+20	1.61006e+21	3.18551e+21	5.5792e+21	8.89497e+21	1.31645e+22	1.8348e+22	2.4345e+22	3.10119e+22	3.81798e+22	4.56712e+22	5.33138e+22	6.09498e+22	6.84417e+22	7.56756e+22	8.25614e+22	8.90315e+22	9.50387e+22	1.00554e+23	1.05561e+23	1.10059e+23	1.14053e+23	1.17558e+23	1.20592e+23	1.23178e+23	1.25341e+23	1.27107e+23	1.28503e+23	1.29555e+23	1.30292e+23	1.30736e+23	1.30915e+23	1.30849e+23	1.30563e+23	1.30076e+23	1.29407e+23	1.28576e+23	1.27599e+23	1.26491e+23	1.25268e+23	1.23941e+23	1.22525e+23	1.21029e+23	1.19465e+23	1.17842e+23	1.16168e+23	1.14452e+23	1.12701e+23	1.10922e+23	1.0912e+23	1.07301e+23	1.05471e+23	1.03633e+23	1.01792e+23	9.99508e+22	9.81137e+22	9.62833e+22	9.44623e+22	9.26531e+22	9.08578e+22	8.90784e+22	8.73165e+22	8.55736e+22	8.3851e+22	8.21498e+22	8.04711e+22	7.88156e+22	7.71841e+22	7.55772e+22	7.39954e+22	7.2439e+22	7.09085e+22	6.94039e+22	6.79256e+22	
1.41747	0	0	0	7.3031e+18	8.62202e+19	4.24336e+20	1.31911e+21	3.0937e+21	6.006e+21	1.01923e+22	1.56528e+22	2.22683e+22	2.98324e+22	3.80878e+22	4.67587e+22	5.55767e+22	6.42986e+22	7.27171e+22	8.0666e+22	8.80207e+22	9.46956e+22	1.00639e+23	1.0583e+23	1.1027e+23	1.13977e+23	1.16986e+23	1.19338e+23	1.21081e+23	1.22266e+23	1.22943e+23	1.23164e+23	1.22978e+23	1.22431e+23	1.21567e+23	1.20427e+23	1.19046e+23	1.1746e+23	1.15699e+23	1.1379e+23	1.11759e+23	1.09627e+23	1.07415e+23	1.0514e+23	1.02817e+23	1.00461e+23	9.80838e+22	9.56956e+22	9.33059e+22	9.09229e+22	8.85536e+22	8.62039e+22	8.38792e+22	8.15839e+22	7.93217e+22	7.70958e+22	7.49089e+22	7.27631e+22	7.06602e+22	6.86014e+22	6.65879e+22	6.46204e+22	6.26995e+22	6.08253e+22	5.8998e+22	5.72175e+22	5.54836e+22	5.37959e+22	5.2154e+22	5.05573e+22	4.90052e+22	4.7497e+22	4.60319e+22	4.46092e+22	4.32279e+22	4.18874e+22	4.05865e+22	3.93246e+22	3.81005e+22	3.69135e+22	3.57626e+22	3.46468e+22	
1.51991	0	0	0	1.11843e+20	9.39427e+20	3.20599e+21	7.36204e+21	1.34618e+22	2.12277e+22	3.01833e+22	3.97822e+22	4.9502e+22	5.88997e+22	6.76358e+22	7.54762e+22	8.22819e+22	8.79921e+22	9.26068e+22	9.61694e+22	9.87521e+22	1.00444e+23	1.01344e+23	1.0155e+23	1.01159e+23	1.00261e+23	9.89393e+22	9.72686e+22	9.53153e+22	9.31373e+22	9.0785e+22	8.83019e+22	8.57248e+22	8.30854e+22	8.04099e+22	7.77206e+22	7.50359e+22	7.23709e+22	6.97381e+22	6.71476e+22	6.46073e+22	6.21237e+22	5.97016e+22	5.73447e+22	5.50557e+22	5.28363e+22	5.06876e+22	4.86101e+22	4.66037e+22	4.4668e+22	4.28022e+22	4.10052e+22	3.92757e+22	3.76124e+22	3.60135e+22	3.44774e+22	3.30024e+22	3.15866e+22	3.02281e+22	2.89251e+22	2.76758e+22	2.64782e+22	2.53305e+22	2.42308e+22	2.31775e+22	2.21687e+22	2.12027e+22	2.02779e+22	1.93926e+22	1.85452e+22	1.77343e+22	1.69583e+22	1.62159e+22	1.55055e+22	1.4826e+22	1.41759e+22	1.35541e+22	1.29594e+22	1.23906e+22	1.18466e+22	1.13264e+22	1.0829e+22	
1.62975	0	0	1.18644e+21	5.03951e+21	1.16265e+22	2.01927e+22	2.97409e+22	3.93662e+22	4.83902e+22	5.63782e+22	6.31036e+22	6.84951e+22	7.25867e+22	7.54773e+22	7.72994e+22	7.8199e+22	7.83209e+22	7.78015e+22	7.6764e+22	7.53166e+22	7.35524e+22	7.15503e+22	6.9376e+22	6.70838e+22	6.47178e+22	6.23137e+22	5.99002e+22	5.74997e+22	5.51297e+22	5.28039e+22	5.05324e+22	4.83228e+22	4.61805e+22	4.41091e+22	4.21107e+22	4.01866e+22	3.8337e+22	3.65615e+22	3.48591e+22	3.32284e+22	3.16678e+22	3.01753e+22	2.8749e+22	2.73866e+22	2.60858e+22	2.48445e+22	2.36602e+22	2.25309e+22	2.14541e+22	2.04277e+22	1.94495e+22	1.85175e+22	1.76295e+22	1.67837e+22	1.59781e+22	1.52109e+22	1.44803e+22	1.37847e+22	1.31223e+22	1.24918e+22	1.18914e+22	1.13199e+22	1.07758e+22	1.02579e+22	9.76494e+21	9.29568e+21	8.849e+21	8.42383e+21	8.01913e+21	7.63393e+21	7.26728e+21	6.9183e+21	6.58612e+21	6.26995e+21	5.969e+21	5.68255e+21	5.4099e+21	5.15038e+21	4.90335e+21	4.66821e+21	4.4444e+21	
1.74753	0	0	0	0	2.28721e+18	2.73e+19	1.3762e+20	4.41511e+20	1.07082e+21	2.14851e+21	3.76146e+21	5.94583e+21	8.6853e+21	1.19185e+22	1.55512e+22	1.94699e+22	2.3554e+22	2.76858e+22	3.17577e+22	3.56767e+22	3.93665e+22	4.27682e+22	4.58394e+22	4.8553e+22	5.08951e+22	5.28627e+22	5.44617e+22	5.57051e+22	5.66109e+22	5.72008e+22	5.74987e+22	5.753e+22	5.73203e+22	5.6895e+22	5.6279e+22	5.5496e+22	5.45684e+22	5.35171e+22	5.23616e+22	5.11198e+22	4.98078e+22	4.84406e+22	4.70314e+22	4.5592e+22	4.41331e+22	4.26641e+22	4.11931e+22	3.97274e+22	3.82732e+22	3.68359e+22	3.542e+22	3.40294e+22	3.26674e+22	3.13365e+22	3.0039e+22	2.87766e+22	2.75504e+22	2.63616e+22	2.52106e+22	2.40978e+22	2.30234e+22	2.19872e+22	2.0989e+22	2.00284e+22	1.91048e+22	1.82176e+22	1.7366e+22	1.65492e+22	1.57663e+22	1.50165e+22	1.42987e+22	1.3612e+22	1.29553e+22	1.23278e+22	1.17283e+22	1.11558e+22	1.06095e+22	1.00882e+22	9.59103e+21	9.11701e+21	8.6652e+21	
1.87382	0	0	0	4.36676e+21	1.39976e+22	2.81797e+22	4.556e+22	6.46516e+22	8.40949e+22	1.02779e+23	1.19882e+23	1.34861e+23	1.47419e+23	1.57453e+23	1.65009e+23	1.70235e+23	1.73342e+23	1.74579e+23	1.74202e+23	1.72468e+23	1.69615e+23	1.65864e+23	1.6141e+23	1.56423e+23	1.51049e+23	1.45412e+23	1.39615e+23	1.33743e+23	1.27865e+23	1.22037e+23	1.163e+23	1.1069e+23	1.05233e+23	9.99455e+22	9.48425e+22	8.99325e+22	8.52206e+22	8.07088e+22	7.63972e+22	7.22836e+22	6.83646e+22	6.46358e+22	6.10916e+22	5.77263e+22	5.45335e+22	5.15064e+22	4.86384e+22	4.59226e+22	4.33522e+22	4.09204e+22	3.86208e+22	3.64468e+22	3.43922e+22	3.24509e+22	3.06172e+22	2.88854e+22	2.72502e+22	2.57064e+22	2.42491e+22	2.28737e+22	2.15757e+22	2.03508e+22	1.91951e+22	1.81047e+22	1.7076e+22	1.61055e+22	1.51901e+22	1.43266e+22	1.35121e+22	1.27438e+22	1.20192e+22	1.13358e+22	1.06913e+22	1.00834e+22	9.51008e+21	8.96939e+21	8.45947e+21	7.97857e+21	7.52504e+21	7.09733e+21	6.69397e+21	
