Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	
1	0	0	0	0	0	0	8.35561e-18	6.66237e-10	
1.07227	0	0	0	0	0	0	6.05668e-09	0.0034905	
1.14976	0	0	0	0	0	1.79718e-05	1.85124	3158.46	
1.23285	0	0	0	0	0	0.136657	9075.39	9.41929e+06	
1.32194	0	0	0	0	0	3287.19	2.91986e+07	1.07757e+10	
1.41747	0	0	0	0	0	6.15211e+07	8.20654e+10	7.97894e+12	
1.51991	0	0	0	0	8.07039e+09	2.67145e+12	1.10819e+14	1.84152e+15	
1.62975	0	0	0	0	5.13646e+11	1.20554e+14	4.04903e+15	5.21626e+16	
1.74753	0	0	0	0	1.55992e+13	4.08069e+15	1.06102e+17	1.05357e+18	
1.87382	0	0	0	0	1.25259e+16	4.41873e+17	4.51531e+18	2.41157e+19	
2.00923	0	0	0	1.90291e+17	3.53912e+18	2.21064e+19	8.19688e+19	2.22244e+20	
2.15443	0	0	0	0	5.56683e+18	4.76878e+19	2.02901e+20	5.97862e+20	
2.31013	0	0	0	6.32267e+18	7.46453e+19	3.6737e+20	1.14202e+21	2.67838e+21	
2.47708	0	0	0	9.68287e+19	8.13311e+20	2.7756e+21	6.3737e+21	1.16546e+22	
2.65609	0	0	1.02716e+21	4.36297e+21	1.00657e+22	1.74819e+22	2.57483e+22	3.40814e+22	
2.84804	0	0	0	0	1.98016e+18	2.36351e+19	1.19145e+20	3.82239e+20	
3.05386	0	0	0	3.78053e+21	1.21184e+22	2.43966e+22	3.94437e+22	5.59723e+22	
3.27455	0	0	1.78539e+22	4.16599e+22	6.53397e+22	8.60372e+22	1.02673e+23	1.15112e+23	
3.51119	0	8.37758e+22	1.40293e+23	1.77126e+23	1.99682e+23	2.11918e+23	2.1675e+23	2.16335e+23	
3.76494	0	0	0	0	0	0	0	0	
4.03702	0	0	0	0	0	0	0	0	
4.32876	0	0	0	0	0	0	0	0	
4.64159	8.37758e+23	7.53982e+23	6.78584e+23	6.10726e+23	5.49653e+23	4.94688e+23	4.45219e+23	4.00697e+23	
4.97702	0	0	0	0	0	0	0	0	
5.3367	0	0	0	0	0	0	0	0	
5.72237	0	0	0	0	0	0	0	0	
6.13591	0	0	0	0	0	0	0	0	
6.57933	0	0	0	0	0	0	0	0	
7.0548	0	0	0	0	0	0	0	0	
7.56463	0	0	0	0	0	0	0	0	
8.11131	0	0	0	0	0	0	0	0	
8.69749	0	0	0	0	0	0	0	0	
9.32603	0	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	0	0	
10.7227	0	0	0	0	0	0	0	0	
11.4976	0	0	0	0	0	0	0	0	
12.3285	0	0	0	0	0	0	0	0	
13.2194	0	0	0	0	0	0	0	0	
14.1747	0	0	0	0	0	0	0	0	
15.1991	0	0	0	0	0	0	0	0	
16.2975	0	0	0	0	0	0	0	0	
17.4753	0	0	0	0	0	0	0	0	
18.7382	0	0	0	0	0	0	0	0	
20.0923	0	0	0	0	0	0	0	0	
21.5443	0	0	0	0	0	0	0	0	
23.1013	0	0	0	0	0	0	0	0	
24.7708	0	0	0	0	0	0	0	0	
26.5609	0	0	0	0	0	0	0	0	
28.4804	0	0	0	0	0	0	0	0	
30.5386	0	0	0	0	0	0	0	0	
32.7455	0	0	0	0	0	0	0	0	
35.1119	0	0	0	0	0	0	0	0	
37.6494	0	0	0	0	0	0	0	0	
40.3702	0	0	0	0	0	0	0	0	
43.2876	0	0	0	0	0	0	0	0	
46.4159	0	0	0	0	0	0	0	0	
49.7702	0	0	0	0	0	0	0	0	
53.367	0	0	0	0	0	0	0	0	
57.2237	0	0	0	0	0	0	0	0	
61.3591	0	0	0	0	0	0	0	0	
65.7933	0	0	0	0	0	0	0	0	
70.548	0	0	0	0	0	0	0	0	
75.6463	0	0	0	0	0	0	0	0	
81.1131	0	0	0	0	0	0	0	0	
86.9749	0	0	0	0	0	0	0	0	
93.2603	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	0	0	
107.227	0	0	0	0	0	0	0	0	
114.976	0	0	0	0	0	0	0	0	
123.285	0	0	0	0	0	0	0	0	
132.194	0	0	0	0	0	0	0	0	
141.747	0	0	0	0	0	0	0	0	
151.991	0	0	0	0	0	0	0	0	
162.975	0	0	0	0	0	0	0	0	
174.753	0	0	0	0	0	0	0	0	
187.382	0	0	0	0	0	0	0	0	
200.923	0	0	0	0	0	0	0	0	
215.443	0	0	0	0	0	0	0	0	
231.013	0	0	0	0	0	0	0	0	
247.708	0	0	0	0	0	0	0	0	
265.609	0	0	0	0	0	0	0	0	
284.804	0	0	0	0	0	0	0	0	
305.386	0	0	0	0	0	0	0	0	
327.455	0	0	0	0	0	0	0	0	
351.119	0	0	0	0	0	0	0	0	
376.494	0	0	0	0	0	0	0	0	
403.702	0	0	0	0	0	0	0	0	
432.876	0	0	0	0	0	0	0	0	
464.159	0	0	0	0	0	0	0	0	
497.702	0	0	0	0	0	0	0	0	
533.67	0	0	0	0	0	0	0	0	
572.237	0	0	0	0	0	0	0	0	
613.591	0	0	0	0	0	0	0	0	
657.933	0	0	0	0	0	0	0	0	
705.48	0	0	0	0	0	0	0	0	
756.463	0	0	0	0	0	0	0	0	
811.131	0	0	0	0	0	0	0	0	
869.749	0	0	0	0	0	0	0	0	
932.603	0	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	0	
