Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.07227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.14976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.23285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.32194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.41747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.51991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.62975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.74753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.87382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.00923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.15443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.31013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.47708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.65609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.84804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.05386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.27455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.51119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3.76494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.03702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.32876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.64159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4.97702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.3367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5.72237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.13591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6.57933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.0548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7.56463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.11131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8.69749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9.32603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
