Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	Zeitschritt_16	Zeitschritt_17	Zeitschritt_18	Zeitschritt_19	Zeitschritt_20	Zeitschritt_21	Zeitschritt_22	Zeitschritt_23	Zeitschritt_24	
1	0	0	0	0	0	0	8.35561e-18	6.66237e-10	7.12024e-05	0.32115	217.703	41326.1	3.1436e+06	1.20339e+08	2.70565e+09	3.98715e+10	4.17438e+11	3.29985e+12	2.0643e+13	1.06038e+14	4.60649e+14	1.73318e+15	5.75912e+15	1.71752e+16	4.65927e+16	
1.07227	0	0	0	0	0	0	6.05668e-09	0.0034905	25.6668	17923.5	2.93506e+06	1.80648e+08	5.50911e+09	9.91942e+10	1.18648e+12	1.02446e+13	6.78555e+13	3.60941e+14	1.59749e+15	6.04968e+15	2.00475e+16	5.9203e+16	1.58164e+17	3.87057e+17	8.76795e+17	
1.14976	0	0	0	0	0	1.79718e-05	1.85124	3158.46	981535	1.07129e+08	5.16974e+09	1.31046e+11	2.00941e+12	2.07499e+13	1.56285e+14	9.11294e+14	4.30406e+15	1.70497e+16	5.82165e+16	1.7511e+17	4.72215e+17	1.15817e+18	2.61441e+18	5.48606e+18	1.07915e+19	
1.23285	0	0	0	0	0	0.136657	9075.39	9.41929e+06	1.48635e+09	7.76288e+10	1.92521e+12	2.77711e+13	2.65128e+14	1.83055e+15	9.74359e+15	4.19305e+16	1.51284e+17	4.70766e+17	1.29218e+18	3.18571e+18	7.15915e+18	1.48451e+19	2.86937e+19	5.2142e+19	8.973e+19	
1.32194	0	0	0	0	0	3287.19	2.91986e+07	1.07757e+10	7.88366e+11	2.17252e+13	3.11276e+14	2.7899e+15	1.75748e+16	8.41726e+16	3.24056e+17	1.04485e+18	2.91065e+18	7.17665e+18	1.59646e+19	3.25366e+19	6.1518e+19	1.09024e+20	1.82663e+20	2.91408e+20	4.45348e+20	
1.41747	0	0	0	0	0	6.15211e+07	8.20654e+10	7.97894e+12	2.2004e+14	2.84947e+15	2.2245e+16	1.20918e+17	5.01387e+17	1.68664e+18	4.80763e+18	1.19872e+19	2.67771e+19	5.4582e+19	1.02994e+20	1.81975e+20	3.03833e+20	4.82984e+20	7.35505e+20	1.07851e+21	1.52941e+21	
1.51991	0	0	0	0	8.07039e+09	2.67145e+12	1.10819e+14	1.84152e+15	1.76872e+16	1.14802e+17	5.51342e+17	2.08751e+18	6.53346e+18	1.75235e+19	4.14092e+19	8.80886e+19	1.71566e+20	3.10075e+20	5.25678e+20	8.43354e+20	1.28968e+21	1.89126e+21	2.67307e+21	3.657e+21	4.86049e+21	
1.62975	0	0	0	0	5.13646e+11	1.20554e+14	4.04903e+15	5.21626e+16	3.78813e+17	1.87539e+18	7.05036e+18	2.1529e+19	5.58609e+19	1.27146e+20	2.59908e+20	4.85787e+20	8.41934e+20	1.36832e+21	2.1044e+21	3.08572e+21	4.3409e+21	5.88938e+21	7.74012e+21	9.89129e+21	1.23307e+22	
1.74753	0	0	0	0	1.55992e+13	4.08069e+15	1.06102e+17	1.05357e+18	6.01872e+18	2.38932e+19	7.32354e+19	1.85071e+20	4.02918e+20	7.79503e+20	1.37091e+21	2.22968e+21	3.39838e+21	4.90492e+21	6.7601e+21	8.95735e+21	1.14743e+22	1.42756e+22	1.73164e+22	2.05458e+22	2.39104e+22	
1.87382	0	0	0	0	1.25259e+16	4.41873e+17	4.51531e+18	2.41157e+19	8.64116e+19	2.36388e+20	5.32702e+20	1.03829e+21	1.80944e+21	2.88698e+21	4.29144e+21	6.02244e+21	8.06145e+21	1.03764e+22	1.29266e+22	1.56677e+22	1.85552e+22	2.15474e+22	2.46063e+22	2.76987e+22	3.07962e+22	
2.00923	0	0	0	1.90291e+17	3.53912e+18	2.21064e+19	8.19688e+19	2.22244e+20	4.89556e+20	9.3232e+20	1.59753e+21	2.52971e+21	3.7704e+21	5.35679e+21	7.31918e+21	9.67797e+21	1.24408e+22	1.56007e+22	1.91355e+22	2.30089e+22	2.71723e+22	3.15677e+22	3.61307e+22	4.0794e+22	4.54904e+22	
2.15443	0	0	0	0	5.56683e+18	4.76878e+19	2.02901e+20	5.97862e+20	1.39391e+21	2.75785e+21	4.83013e+21	7.70054e+21	1.13962e+22	1.5882e+22	2.10699e+22	2.68337e+22	3.30243e+22	3.94845e+22	4.60602e+22	5.26092e+22	5.90064e+22	6.51467e+22	7.09459e+22	7.634e+22	8.12836e+22	
2.31013	0	0	0	6.32267e+18	7.46453e+19	3.6737e+20	1.14202e+21	2.67838e+21	5.19971e+21	8.82399e+21	1.35514e+22	1.92787e+22	2.58272e+22	3.29737e+22	4.04789e+22	4.81092e+22	5.5652e+22	6.29251e+22	6.97808e+22	7.61068e+22	8.18237e+22	8.68823e+22	9.12589e+22	9.49508e+22	9.79722e+22	
2.47708	0	0	0	9.68287e+19	8.13311e+20	2.7756e+21	6.3737e+21	1.16546e+22	1.8378e+22	2.61313e+22	3.44415e+22	4.28564e+22	5.09924e+22	5.85553e+22	6.53422e+22	7.12322e+22	7.61721e+22	8.01608e+22	8.3235e+22	8.54562e+22	8.69012e+22	8.76541e+22	8.78007e+22	8.74246e+22	8.6605e+22	
2.65609	0	0	1.02716e+21	4.36297e+21	1.00657e+22	1.74819e+22	2.57483e+22	3.40814e+22	4.18939e+22	4.88096e+22	5.46321e+22	5.92997e+22	6.2842e+22	6.53443e+22	6.69214e+22	6.76993e+22	6.78034e+22	6.73515e+22	6.645e+22	6.51926e+22	6.36599e+22	6.19203e+22	6.00309e+22	5.8039e+22	5.59832e+22	
