Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	Zeitschritt_16	Zeitschritt_17	Zeitschritt_18	Zeitschritt_19	Zeitschritt_20	Zeitschritt_21	Zeitschritt_22	Zeitschritt_23	Zeitschritt_24	Zeitschritt_25	Zeitschritt_26	Zeitschritt_27	Zeitschritt_28	Zeitschritt_29	Zeitschritt_30	Zeitschritt_31	Zeitschritt_32	Zeitschritt_33	Zeitschritt_34	Zeitschritt_35	Zeitschritt_36	Zeitschritt_37	Zeitschritt_38	Zeitschritt_39	Zeitschritt_40	Zeitschritt_41	Zeitschritt_42	Zeitschritt_43	Zeitschritt_44	Zeitschritt_45	Zeitschritt_46	Zeitschritt_47	Zeitschritt_48	Zeitschritt_49	Zeitschritt_50	Zeitschritt_51	Zeitschritt_52	Zeitschritt_53	Zeitschritt_54	Zeitschritt_55	Zeitschritt_56	Zeitschritt_57	Zeitschritt_58	Zeitschritt_59	Zeitschritt_60	Zeitschritt_61	Zeitschritt_62	Zeitschritt_63	Zeitschritt_64	Zeitschritt_65	Zeitschritt_66	Zeitschritt_67	Zeitschritt_68	Zeitschritt_69	Zeitschritt_70	Zeitschritt_71	Zeitschritt_72	Zeitschritt_73	Zeitschritt_74	Zeitschritt_75	Zeitschritt_76	Zeitschritt_77	Zeitschritt_78	Zeitschritt_79	Zeitschritt_80	Zeitschritt_81	Zeitschritt_82	Zeitschritt_83	Zeitschritt_84	Zeitschritt_85	Zeitschritt_86	Zeitschritt_87	Zeitschritt_88	Zeitschritt_89	Zeitschritt_90	Zeitschritt_91	Zeitschritt_92	Zeitschritt_93	Zeitschritt_94	Zeitschritt_95	Zeitschritt_96	Zeitschritt_97	Zeitschritt_98	Zeitschritt_99	Zeitschritt_100	Zeitschritt_101	Zeitschritt_102	Zeitschritt_103	Zeitschritt_104	Zeitschritt_105	Zeitschritt_106	Zeitschritt_107	Zeitschritt_108	Zeitschritt_109	Zeitschritt_110	Zeitschritt_111	Zeitschritt_112	Zeitschritt_113	Zeitschritt_114	Zeitschritt_115	Zeitschritt_116	Zeitschritt_117	Zeitschritt_118	Zeitschritt_119	Zeitschritt_120	Zeitschritt_121	Zeitschritt_122	Zeitschritt_123	Zeitschritt_124	Zeitschritt_125	Zeitschritt_126	Zeitschritt_127	Zeitschritt_128	Zeitschritt_129	Zeitschritt_130	Zeitschritt_131	Zeitschritt_132	Zeitschritt_133	Zeitschritt_134	Zeitschritt_135	Zeitschritt_136	Zeitschritt_137	Zeitschritt_138	Zeitschritt_139	
1	0	0	0	0	1.95887e+18	1.68056e+19	6.96152e+19	1.98331e+20	4.48444e+20	8.67052e+20	1.49815e+21	2.37969e+21	3.54222e+21	5.00857e+21	6.79436e+21	8.90878e+21	1.13555e+22	1.41337e+22	1.72389e+22	2.06637e+22	2.43984e+22	2.84319e+22	3.27516e+22	3.73442e+22	4.21959e+22	4.72925e+22	5.26197e+22	5.81633e+22	6.39092e+22	6.98436e+22	7.59529e+22	8.22241e+22	8.86443e+22	9.52014e+22	1.01883e+23	1.08679e+23	1.15577e+23	1.22568e+23	1.29641e+23	1.36786e+23	1.43996e+23	1.5126e+23	1.58572e+23	1.65922e+23	1.73305e+23	1.80712e+23	1.88137e+23	1.95575e+23	2.03018e+23	2.10462e+23	2.17902e+23	2.25332e+23	2.32748e+23	2.40145e+23	2.4752e+23	2.54868e+23	2.62186e+23	2.69471e+23	2.76719e+23	2.83928e+23	2.91095e+23	2.98218e+23	3.05293e+23	3.1232e+23	3.19295e+23	3.26217e+23	3.33085e+23	3.39896e+23	3.4665e+23	3.53345e+23	3.59979e+23	3.66553e+23	3.73064e+23	3.79513e+23	3.85898e+23	3.92218e+23	3.98473e+23	4.04663e+23	4.10787e+23	4.16844e+23	4.22835e+23	4.2876e+23	4.34617e+23	4.40407e+23	4.4613e+23	4.51786e+23	4.57374e+23	4.62896e+23	4.68351e+23	4.73739e+23	4.79061e+23	4.84316e+23	4.89506e+23	4.9463e+23	4.99688e+23	5.04681e+23	5.0961e+23	5.14474e+23	5.19275e+23	5.24013e+23	5.28687e+23	5.33299e+23	5.37849e+23	5.42338e+23	5.46766e+23	5.51133e+23	5.55441e+23	5.59689e+23	5.63878e+23	5.6801e+23	5.72084e+23	5.761e+23	5.80061e+23	5.83965e+23	5.87815e+23	5.91609e+23	5.9535e+23	5.99037e+23	6.02671e+23	6.06253e+23	6.09784e+23	6.13263e+23	6.16692e+23	6.20071e+23	6.23401e+23	6.26682e+23	6.29915e+23	6.33101e+23	6.3624e+23	6.39333e+23	6.4238e+23	6.45382e+23	6.48339e+23	6.51253e+23	6.54123e+23	6.56951e+23	6.59736e+23	6.6248e+23	6.65182e+23	6.67844e+23	
1.07227	0	0	0	3.06334e+17	3.0109e+18	1.11825e+19	2.65911e+19	4.90406e+19	7.69942e+19	1.08425e+20	1.41404e+20	1.74371e+20	2.062e+20	2.36157e+20	2.63818e+20	2.88984e+20	3.11613e+20	3.31766e+20	3.49562e+20	3.65159e+20	3.78725e+20	3.90435e+20	4.00459e+20	4.08957e+20	4.1608e+20	4.21966e+20	4.26741e+20	4.3052e+20	4.33405e+20	4.35491e+20	4.3686e+20	4.37588e+20	4.37742e+20	4.37382e+20	4.36564e+20	4.35335e+20	4.3374e+20	4.31817e+20	4.29603e+20	4.27129e+20	4.24424e+20	4.21514e+20	4.18421e+20	4.15168e+20	4.11773e+20	4.08254e+20	4.04626e+20	4.00903e+20	3.97098e+20	3.93223e+20	3.89288e+20	3.85303e+20	3.81277e+20	3.77217e+20	3.73131e+20	3.69025e+20	3.64905e+20	3.60777e+20	3.56645e+20	3.52514e+20	3.48388e+20	3.4427e+20	3.40165e+20	3.36074e+20	3.32001e+20	3.27948e+20	3.23917e+20	3.19911e+20	3.15931e+20	3.11978e+20	3.08055e+20	3.04163e+20	3.00302e+20	2.96474e+20	2.9268e+20	2.8892e+20	2.85196e+20	2.81507e+20	2.77855e+20	2.7424e+20	2.70661e+20	2.67121e+20	2.63618e+20	2.60153e+20	2.56727e+20	2.53338e+20	2.49988e+20	2.46676e+20	2.43403e+20	2.40168e+20	2.36971e+20	2.33812e+20	2.3069e+20	2.27607e+20	2.24561e+20	2.21553e+20	2.18581e+20	2.15647e+20	2.12749e+20	2.09888e+20	2.07063e+20	2.04273e+20	2.0152e+20	1.98801e+20	1.96117e+20	1.93468e+20	1.90853e+20	1.88272e+20	1.85725e+20	1.83211e+20	1.8073e+20	1.78281e+20	1.75865e+20	1.7348e+20	1.71127e+20	1.68805e+20	1.66514e+20	1.64254e+20	1.62023e+20	1.59823e+20	1.57651e+20	1.55509e+20	1.53396e+20	1.5131e+20	1.49253e+20	1.47224e+20	1.45222e+20	1.43247e+20	1.41298e+20	1.39376e+20	1.3748e+20	1.35609e+20	1.33764e+20	1.31944e+20	1.30148e+20	1.28377e+20	1.2663e+20	1.24907e+20	1.23207e+20	1.2153e+20	
1.14976	0	0	0	0	4.52448e+16	1.30123e+18	1.03671e+19	4.53372e+19	1.38986e+20	3.36822e+20	6.91286e+20	1.25474e+21	2.07346e+21	3.18355e+21	4.60914e+21	6.3621e+21	8.44308e+21	1.08431e+22	1.35456e+22	1.6528e+22	1.97637e+22	2.32236e+22	2.68772e+22	3.06936e+22	3.46425e+22	3.86946e+22	4.28218e+22	4.69981e+22	5.11991e+22	5.54025e+22	5.9588e+22	6.37374e+22	6.78344e+22	7.18645e+22	7.5815e+22	7.96748e+22	8.34346e+22	8.70861e+22	9.06228e+22	9.40391e+22	9.73305e+22	1.00494e+23	1.03526e+23	1.06425e+23	1.09191e+23	1.11823e+23	1.14321e+23	1.16686e+23	1.18919e+23	1.21022e+23	1.22995e+23	1.24842e+23	1.26565e+23	1.28166e+23	1.29649e+23	1.31015e+23	1.32268e+23	1.33411e+23	1.34448e+23	1.35381e+23	1.36213e+23	1.36949e+23	1.3759e+23	1.38141e+23	1.38605e+23	1.38984e+23	1.39282e+23	1.39503e+23	1.39648e+23	1.39722e+23	1.39726e+23	1.39665e+23	1.3954e+23	1.39355e+23	1.39112e+23	1.38814e+23	1.38463e+23	1.38063e+23	1.37614e+23	1.3712e+23	1.36583e+23	1.36005e+23	1.35388e+23	1.34735e+23	1.34046e+23	1.33325e+23	1.32573e+23	1.31791e+23	1.30982e+23	1.30147e+23	1.29288e+23	1.28407e+23	1.27504e+23	1.26581e+23	1.2564e+23	1.24682e+23	1.23708e+23	1.22719e+23	1.21717e+23	1.20703e+23	1.19677e+23	1.18642e+23	1.17597e+23	1.16544e+23	1.15484e+23	1.14417e+23	1.13345e+23	1.12268e+23	1.11187e+23	1.10102e+23	1.09015e+23	1.07926e+23	1.06836e+23	1.05745e+23	1.04654e+23	1.03563e+23	1.02473e+23	1.01385e+23	1.00299e+23	9.92146e+22	9.81334e+22	9.70555e+22	9.59811e+22	9.49106e+22	9.38445e+22	9.2783e+22	9.17264e+22	9.0675e+22	8.96292e+22	8.85891e+22	8.7555e+22	8.65271e+22	8.55057e+22	8.44909e+22	8.34829e+22	8.2482e+22	8.14882e+22	8.05017e+22	7.95227e+22	7.85513e+22	
1.23285	0	0	0	0	1.2407e+19	9.95985e+19	3.90963e+20	1.05336e+21	2.24219e+21	4.06465e+21	6.56581e+21	9.7329e+21	1.3509e+22	1.78087e+22	2.25326e+22	2.75779e+22	3.28455e+22	3.82449e+22	4.36962e+22	4.91308e+22	5.44917e+22	5.97319e+22	6.48143e+22	6.97099e+22	7.43969e+22	7.88596e+22	8.30874e+22	8.70741e+22	9.08167e+22	9.43153e+22	9.75721e+22	1.00591e+23	1.03378e+23	1.05938e+23	1.08281e+23	1.10412e+23	1.12341e+23	1.14077e+23	1.15627e+23	1.17e+23	1.18206e+23	1.19251e+23	1.20146e+23	1.20897e+23	1.21512e+23	1.22e+23	1.22367e+23	1.22621e+23	1.22768e+23	1.22814e+23	1.22766e+23	1.2263e+23	1.22411e+23	1.22115e+23	1.21746e+23	1.2131e+23	1.20811e+23	1.20254e+23	1.19642e+23	1.18979e+23	1.1827e+23	1.17518e+23	1.16725e+23	1.15896e+23	1.15033e+23	1.14139e+23	1.13216e+23	1.12267e+23	1.11295e+23	1.10302e+23	1.09289e+23	1.08259e+23	1.07214e+23	1.06155e+23	1.05084e+23	1.04002e+23	1.02911e+23	1.01813e+23	1.00709e+23	9.95993e+22	9.84858e+22	9.73694e+22	9.62511e+22	9.51318e+22	9.40125e+22	9.28939e+22	9.17769e+22	9.06621e+22	8.95503e+22	8.8442e+22	8.73378e+22	8.62384e+22	8.51441e+22	8.40555e+22	8.2973e+22	8.18971e+22	8.0828e+22	7.97662e+22	7.8712e+22	7.76656e+22	7.66274e+22	7.55975e+22	7.45762e+22	7.35638e+22	7.25603e+22	7.15661e+22	7.05811e+22	6.96056e+22	6.86396e+22	6.76834e+22	6.67369e+22	6.58003e+22	6.48736e+22	6.39569e+22	6.30502e+22	6.21535e+22	6.12669e+22	6.03905e+22	5.95241e+22	5.86679e+22	5.78218e+22	5.69858e+22	5.61598e+22	5.53439e+22	5.4538e+22	5.37421e+22	5.29562e+22	5.21801e+22	5.14139e+22	5.06575e+22	4.99109e+22	4.91739e+22	4.84465e+22	4.77287e+22	4.70203e+22	4.63214e+22	4.56318e+22	4.49514e+22	4.42803e+22	4.36182e+22	
1.32194	0	0	0	1.15831e+19	1.04597e+20	3.8459e+20	9.24397e+20	1.73338e+21	2.76872e+21	3.96142e+21	5.23856e+21	6.53633e+21	7.80522e+21	9.01036e+21	1.01295e+22	1.11505e+22	1.20682e+22	1.28827e+22	1.35975e+22	1.42178e+22	1.47502e+22	1.52019e+22	1.55797e+22	1.58908e+22	1.61415e+22	1.63382e+22	1.64864e+22	1.65913e+22	1.66576e+22	1.66896e+22	1.66912e+22	1.66657e+22	1.66164e+22	1.65459e+22	1.64569e+22	1.63515e+22	1.62317e+22	1.60993e+22	1.5956e+22	1.58031e+22	1.5642e+22	1.54739e+22	1.52997e+22	1.51203e+22	1.49367e+22	1.47496e+22	1.45595e+22	1.43672e+22	1.41732e+22	1.39779e+22	1.37817e+22	1.35851e+22	1.33884e+22	1.31919e+22	1.29959e+22	1.28006e+22	1.26062e+22	1.24129e+22	1.22209e+22	1.20304e+22	1.18415e+22	1.16542e+22	1.14688e+22	1.12852e+22	1.11036e+22	1.09241e+22	1.07466e+22	1.05713e+22	1.03981e+22	1.02272e+22	1.00585e+22	9.89208e+21	9.72792e+21	9.56605e+21	9.40648e+21	9.2492e+21	9.09421e+21	8.94152e+21	8.79111e+21	8.64297e+21	8.49709e+21	8.35347e+21	8.21207e+21	8.07289e+21	7.93591e+21	7.80111e+21	7.66845e+21	7.53794e+21	7.40953e+21	7.2832e+21	7.15894e+21	7.03672e+21	6.91651e+21	6.79828e+21	6.68202e+21	6.56768e+21	6.45526e+21	6.34471e+21	6.23602e+21	6.12915e+21	6.02409e+21	5.92079e+21	5.81925e+21	5.71942e+21	5.62129e+21	5.52483e+21	5.43001e+21	5.33681e+21	5.24519e+21	5.15514e+21	5.06664e+21	4.97964e+21	4.89414e+21	4.8101e+21	4.72751e+21	4.64633e+21	4.56655e+21	4.48814e+21	4.41107e+21	4.33534e+21	4.26091e+21	4.18776e+21	4.11587e+21	4.04522e+21	3.97579e+21	3.90755e+21	3.84049e+21	3.77459e+21	3.70983e+21	3.64618e+21	3.58363e+21	3.52216e+21	3.46176e+21	3.40239e+21	3.34405e+21	3.28672e+21	3.23037e+21	3.175e+21	3.12059e+21	3.06711e+21	
1.41747	0	0	0	0	1.86327e+20	9.39198e+20	2.61183e+21	5.39475e+21	9.3016e+21	1.42156e+22	1.99472e+22	2.6281e+22	3.30071e+22	3.99374e+22	4.69137e+22	5.38081e+22	6.05217e+22	6.69806e+22	7.31316e+22	7.89392e+22	8.4381e+22	8.94459e+22	9.41304e+22	9.84378e+22	1.02376e+23	1.05955e+23	1.09189e+23	1.12093e+23	1.14682e+23	1.16974e+23	1.18983e+23	1.20727e+23	1.22222e+23	1.23484e+23	1.24527e+23	1.25365e+23	1.26014e+23	1.26485e+23	1.26791e+23	1.26945e+23	1.26957e+23	1.26838e+23	1.26597e+23	1.26244e+23	1.25788e+23	1.25237e+23	1.24599e+23	1.2388e+23	1.23088e+23	1.22229e+23	1.21309e+23	1.20332e+23	1.19306e+23	1.18233e+23	1.17119e+23	1.15969e+23	1.14785e+23	1.13571e+23	1.12332e+23	1.11069e+23	1.09787e+23	1.08488e+23	1.07174e+23	1.05847e+23	1.04511e+23	1.03167e+23	1.01817e+23	1.00463e+23	9.91058e+22	9.7748e+22	9.63906e+22	9.50349e+22	9.36823e+22	9.23337e+22	9.09903e+22	8.9653e+22	8.83226e+22	8.7e+22	8.5686e+22	8.43812e+22	8.30862e+22	8.18017e+22	8.0528e+22	7.92658e+22	7.80154e+22	7.67772e+22	7.55515e+22	7.43387e+22	7.31391e+22	7.19527e+22	7.078e+22	6.9621e+22	6.84759e+22	6.73449e+22	6.6228e+22	6.51253e+22	6.4037e+22	6.2963e+22	6.19033e+22	6.08581e+22	5.98272e+22	5.88107e+22	5.78086e+22	5.68208e+22	5.58472e+22	5.48879e+22	5.39426e+22	5.30115e+22	5.20942e+22	5.11909e+22	5.03013e+22	4.94254e+22	4.85631e+22	4.77141e+22	4.68785e+22	4.60561e+22	4.52468e+22	4.44503e+22	4.36667e+22	4.28956e+22	4.21371e+22	4.1391e+22	4.06571e+22	3.99352e+22	3.92253e+22	3.85271e+22	3.78406e+22	3.71655e+22	3.65018e+22	3.58492e+22	3.52076e+22	3.45769e+22	3.39569e+22	3.33475e+22	3.27485e+22	3.21598e+22	3.15811e+22	3.10125e+22	3.04536e+22	2.99044e+22	
1.51991	0	0	0	1.55975e+20	7.3938e+20	1.81225e+21	3.25712e+21	4.89845e+21	6.57903e+21	8.18672e+21	9.65407e+21	1.09482e+22	1.20599e+22	1.29939e+22	1.37632e+22	1.43841e+22	1.48739e+22	1.52496e+22	1.55269e+22	1.57197e+22	1.58405e+22	1.59001e+22	1.59078e+22	1.58718e+22	1.57988e+22	1.56948e+22	1.55649e+22	1.54133e+22	1.52437e+22	1.50594e+22	1.48628e+22	1.46565e+22	1.44423e+22	1.4222e+22	1.39969e+22	1.37684e+22	1.35375e+22	1.33052e+22	1.30721e+22	1.28391e+22	1.26066e+22	1.23751e+22	1.21452e+22	1.1917e+22	1.1691e+22	1.14674e+22	1.12464e+22	1.10282e+22	1.08129e+22	1.06007e+22	1.03916e+22	1.01858e+22	9.98324e+21	9.78402e+21	9.58816e+21	9.39567e+21	9.20657e+21	9.02086e+21	8.83853e+21	8.65956e+21	8.48393e+21	8.31162e+21	8.14259e+21	7.97681e+21	7.81424e+21	7.65485e+21	7.49859e+21	7.34542e+21	7.19528e+21	7.04815e+21	6.90396e+21	6.76268e+21	6.62424e+21	6.48861e+21	6.35573e+21	6.22556e+21	6.09804e+21	5.97313e+21	5.85077e+21	5.73093e+21	5.61354e+21	5.49857e+21	5.38597e+21	5.27568e+21	5.16767e+21	5.06189e+21	4.95829e+21	4.85683e+21	4.75747e+21	4.66016e+21	4.56486e+21	4.47154e+21	4.38014e+21	4.29064e+21	4.20299e+21	4.11715e+21	4.03309e+21	3.95076e+21	3.87014e+21	3.79119e+21	3.71387e+21	3.63814e+21	3.56399e+21	3.49136e+21	3.42023e+21	3.35058e+21	3.28236e+21	3.21555e+21	3.15012e+21	3.08604e+21	3.02328e+21	2.96181e+21	2.90161e+21	2.84265e+21	2.7849e+21	2.72834e+21	2.67295e+21	2.61869e+21	2.56555e+21	2.5135e+21	2.46252e+21	2.41259e+21	2.36368e+21	2.31578e+21	2.26886e+21	2.2229e+21	2.17788e+21	2.13378e+21	2.09059e+21	2.04828e+21	2.00684e+21	1.96624e+21	1.92648e+21	1.88753e+21	1.84937e+21	1.81199e+21	1.77538e+21	1.73951e+21	1.70438e+21	1.66996e+21	
1.62975	0	0	0	9.32642e+20	3.37112e+21	7.23233e+21	1.21036e+22	1.751e+22	2.30446e+22	2.84091e+22	3.34096e+22	3.79357e+22	4.1938e+22	4.54082e+22	4.83639e+22	5.08376e+22	5.28695e+22	5.45028e+22	5.57803e+22	5.67429e+22	5.74286e+22	5.78721e+22	5.81048e+22	5.81546e+22	5.80463e+22	5.78018e+22	5.74406e+22	5.69796e+22	5.64338e+22	5.58161e+22	5.51381e+22	5.44098e+22	5.36399e+22	5.28361e+22	5.20049e+22	5.11524e+22	5.02835e+22	4.94026e+22	4.85137e+22	4.76201e+22	4.67246e+22	4.58297e+22	4.49378e+22	4.40505e+22	4.31697e+22	4.22965e+22	4.14323e+22	4.05779e+22	3.97344e+22	3.89022e+22	3.80822e+22	3.72746e+22	3.64799e+22	3.56985e+22	3.49305e+22	3.41761e+22	3.34353e+22	3.27084e+22	3.19953e+22	3.12959e+22	3.06102e+22	2.99382e+22	2.92798e+22	2.86348e+22	2.8003e+22	2.73845e+22	2.67788e+22	2.6186e+22	2.56058e+22	2.50379e+22	2.44823e+22	2.39387e+22	2.34069e+22	2.28867e+22	2.23779e+22	2.18802e+22	2.13935e+22	2.09175e+22	2.04521e+22	1.99969e+22	1.95519e+22	1.91167e+22	1.86913e+22	1.82753e+22	1.78686e+22	1.7471e+22	1.70823e+22	1.67023e+22	1.63308e+22	1.59676e+22	1.56126e+22	1.52655e+22	1.49263e+22	1.45946e+22	1.42704e+22	1.39534e+22	1.36436e+22	1.33407e+22	1.30446e+22	1.27552e+22	1.24722e+22	1.21956e+22	1.19253e+22	1.16609e+22	1.14025e+22	1.11499e+22	1.0903e+22	1.06616e+22	1.04256e+22	1.01949e+22	9.96935e+21	9.74885e+21	9.53329e+21	9.32255e+21	9.11652e+21	8.9151e+21	8.71818e+21	8.52565e+21	8.33743e+21	8.1534e+21	7.97349e+21	7.79758e+21	7.6256e+21	7.45745e+21	7.29305e+21	7.13231e+21	6.97515e+21	6.82149e+21	6.67124e+21	6.52434e+21	6.3807e+21	6.24026e+21	6.10294e+21	5.96866e+21	5.83737e+21	5.70899e+21	5.58346e+21	5.46071e+21	5.34069e+21	5.22333e+21	
1.74753	0	0	1.15533e+21	3.70584e+21	6.94527e+21	1.02606e+22	1.3293e+22	1.58835e+22	1.79946e+22	1.96518e+22	2.0908e+22	2.18237e+22	2.24574e+22	2.28612e+22	2.30795e+22	2.31494e+22	2.31011e+22	2.29593e+22	2.2744e+22	2.24711e+22	2.21537e+22	2.1802e+22	2.14246e+22	2.10282e+22	2.06181e+22	2.01989e+22	1.97741e+22	1.93466e+22	1.89187e+22	1.84922e+22	1.80688e+22	1.76495e+22	1.72353e+22	1.6827e+22	1.64253e+22	1.60304e+22	1.56429e+22	1.52629e+22	1.48907e+22	1.45262e+22	1.41697e+22	1.38211e+22	1.34803e+22	1.31475e+22	1.28224e+22	1.2505e+22	1.21952e+22	1.18929e+22	1.1598e+22	1.13103e+22	1.10297e+22	1.0756e+22	1.04891e+22	1.02289e+22	9.97515e+21	9.72779e+21	9.48665e+21	9.25157e+21	9.02241e+21	8.79902e+21	8.58128e+21	8.36903e+21	8.16213e+21	7.96047e+21	7.76389e+21	7.57228e+21	7.38551e+21	7.20345e+21	7.02598e+21	6.85299e+21	6.68436e+21	6.51998e+21	6.35973e+21	6.20352e+21	6.05123e+21	5.90277e+21	5.75804e+21	5.61693e+21	5.47936e+21	5.34524e+21	5.21447e+21	5.08697e+21	4.96266e+21	4.84145e+21	4.72326e+21	4.60802e+21	4.49565e+21	4.38607e+21	4.27922e+21	4.17502e+21	4.0734e+21	3.97431e+21	3.87767e+21	3.78343e+21	3.69151e+21	3.60187e+21	3.51445e+21	3.42918e+21	3.34601e+21	3.2649e+21	3.18578e+21	3.10861e+21	3.03334e+21	2.95992e+21	2.8883e+21	2.81844e+21	2.7503e+21	2.68382e+21	2.61898e+21	2.55572e+21	2.49401e+21	2.43381e+21	2.37508e+21	2.31779e+21	2.2619e+21	2.20737e+21	2.15417e+21	2.10227e+21	2.05163e+21	2.00223e+21	1.95402e+21	1.907e+21	1.86111e+21	1.81634e+21	1.77266e+21	1.73004e+21	1.68846e+21	1.64788e+21	1.60829e+21	1.56966e+21	1.53196e+21	1.49518e+21	1.45929e+21	1.42427e+21	1.39009e+21	1.35675e+21	1.32421e+21	1.29245e+21	1.26146e+21	1.23123e+21	
1.87382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
